Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
116,Long-Einstieg,2025-09-26 15:31,Long_078,24379.8,26,633874.8,3439.8,0.54,3439.8,0.54,-85.8,-0.01,17266.4,17.27
117,Long-Ausstieg,2025-09-26 16:01,L140 TP2,24512.1,27,658254.6,3572.1,0.54,3572.1,0.54,-89.1,-0.01,20838.5,20.84
117,Long-Einstieg,2025-09-26 15:31,Long_078,24379.8,27,658254.6,3572.1,0.54,3572.1,0.54,-89.1,-0.01,20838.5,20.84
118,Long-Ausstieg,2025-09-29 00:01,EOD_CLOSE,24518.7,2,48759.6,277.8,0.57,298.4,0.61,-159.2,-0.33,21116.3,21.12
118,Long-Einstieg,2025-09-26 15:31,Long_078,24379.8,2,48759.6,277.8,0.57,298.4,0.61,-159.2,-0.33,21116.3,21.12
119,Short-Ausstieg,2025-10-01 15:33,S178 SL,24616.7,24,590500.8,-300,-0.05,43.2,0.01,-300,-0.05,20816.3,20.82
119,Short-Einstieg,2025-10-01 15:32,Short_178,24604.2,24,590500.8,-300,-0.05,43.2,0.01,-300,-0.05,20816.3,20.82
120,Short-Ausstieg,2025-10-01 15:33,S178 SL,24616.7,24,590500.8,-300,-0.05,43.2,0.01,-300,-0.05,20516.3,20.52
120,Short-Einstieg,2025-10-01 15:32,Short_178,24604.2,24,590500.8,-300,-0.05,43.2,0.01,-300,-0.05,20516.3,20.52
121,Long-Ausstieg,2025-10-02 15:34,L140 SL,24923.7,30,748086,-375,-0.05,72,0.01,-375,-0.05,20141.3,20.14
121,Long-Einstieg,2025-10-02 15:32,Long_140,24936.2,30,748086,-375,-0.05,72,0.01,-375,-0.05,20141.3,20.14
122,Long-Ausstieg,2025-10-02 15:34,L140 SL,24923.7,30,748086,-375,-0.05,72,0.01,-375,-0.05,19766.3,19.77
122,Long-Einstieg,2025-10-02 15:32,Long_140,24936.2,30,748086,-375,-0.05,72,0.01,-375,-0.05,19766.3,19.77
123,Short-Ausstieg,2025-10-08 15:33,S178 SL,24937.5,24,598200,-300,-0.05,153.6,0.03,-300,-0.05,19466.3,19.47
123,Short-Einstieg,2025-10-08 15:31,Short_178,24925,24,598200,-300,-0.05,153.6,0.03,-300,-0.05,19466.3,19.47
124,Short-Ausstieg,2025-10-08 15:33,S178 SL,24937.5,24,598200,-300,-0.05,153.6,0.03,-300,-0.05,19166.3,19.17
124,Short-Einstieg,2025-10-08 15:31,Short_178,24925,24,598200,-300,-0.05,153.6,0.03,-300,-0.05,19166.3,19.17
125,Short-Ausstieg,2025-10-17 15:35,S178 SL,24639.8,30,738855,-339,-0.05,525,0.07,-339,-0.05,18827.3,18.83
125,Short-Einstieg,2025-10-17 15:34,Short_178,24628.5,30,738855,-339,-0.05,525,0.07,-339,-0.05,18827.3,18.83
126,Short-Ausstieg,2025-10-17 15:35,S178 SL,24639.8,30,738855,-339,-0.05,525,0.07,-339,-0.05,18488.3,18.49
126,Short-Einstieg,2025-10-17 15:34,Short_178,24628.5,30,738855,-339,-0.05,525,0.07,-339,-0.05,18488.3,18.49
127,Short-Ausstieg,2025-10-17 15:53,S254 SL,24673,30,739770,-420,-0.06,0,0.00,-420,-0.06,18068.3,18.07
127,Short-Einstieg,2025-10-17 15:53,Short_254,24659,30,739770,-420,-0.06,0,0.00,-420,-0.06,18068.3,18.07
128,Short-Ausstieg,2025-10-17 15:53,S254 SL,24673,30,739770,-420,-0.06,0,0.00,-420,-0.06,17648.3,17.65
128,Short-Einstieg,2025-10-17 15:53,Short_254,24659,30,739770,-420,-0.06,0,0.00,-420,-0.06,17648.3,17.65
129,Short-Ausstieg,2025-10-22 15:55,S178 TP1,25120.7,23,578254.5,478.4,0.08,478.4,0.08,-39.1,-0.01,18126.7,18.13
129,Short-Einstieg,2025-10-22 15:54,Short_178,25141.5,23,578254.5,478.4,0.08,478.4,0.08,-39.1,-0.01,18126.7,18.13
130,Short-Ausstieg,2025-10-22 16:10,S178 TP2,25098.8,23,578254.5,982.1,0.17,982.1,0.17,-39.1,-0.01,19108.8,19.11
130,Short-Einstieg,2025-10-22 15:54,Short_178,25141.5,23,578254.5,982.1,0.17,982.1,0.17,-39.1,-0.01,19108.8,19.11
131,Short-Ausstieg,2025-10-23 06:01,EOD_CLOSE,24949.6,1,25141.5,191.9,0.76,480.4,1.91,-1.7,-0.01,19300.7,19.30
131,Short-Einstieg,2025-10-22 15:54,Short_178,25141.5,1,25141.5,191.9,0.76,480.4,1.91,-1.7,-0.01,19300.7,19.30
132,Short-Ausstieg,2025-10-29 14:37,S178 TP1,26138.9,24,627837.6,504,0.08,504,0.08,-158.4,-0.03,19804.7,19.80
