Trade #,Typ,Datum und Uhrzeit,Signal,Preis USD,Größe (Menge),Größe (Wert),G&V netto USD,G&V netto %,Positive Exkursion USD,Positive Exkursion %,Negative Exkursion USD,Negative Exkursion %,Kumulativer G&V USD,Kumulativer G&V %
191,Long-Ausstieg,2026-02-03 15:33,L140 SL,25869.75,1,518050,-655,-0.13,0,0.00,-655,-0.13,2630220,2630.22
191,Long-Einstieg,2026-02-03 15:31,Long_078,25902.5,1,518050,-655,-0.13,0,0.00,-655,-0.13,2630220,2630.22
192,Long-Ausstieg,2026-02-03 15:33,L140 SL,25869.75,797,412543140,-179325,-0.04,342710,0.08,-179325,-0.04,2450895,2450.90
192,Long-Einstieg,2026-02-03 15:32,Long_140,25881,797,412543140,-179325,-0.04,342710,0.08,-179325,-0.04,2450895,2450.90
193,Long-Ausstieg,2026-02-03 15:33,L140 SL,25869.75,798,413060760,-179550,-0.04,343140,0.08,-179550,-0.04,2271345,2271.35
193,Long-Einstieg,2026-02-03 15:32,Long_140,25881,798,413060760,-179550,-0.04,343140,0.08,-179550,-0.04,2271345,2271.35
194,Long-Ausstieg,2026-02-04 06:01,EOD_CLOSE,25434.5,2,1035240,-17860,-1.73,860,0.08,-26480,-2.56,2253485,2253.48
194,Long-Einstieg,2026-02-03 15:32,Long_140,25881,2,1035240,-17860,-1.73,860,0.08,-26480,-2.56,2253485,2253.48
195,Long-Ausstieg,2026-02-06 15:32,L078 TP1,24804.25,588,290495520,1202460,0.41,1202460,0.41,-14700,-0.01,3455945,3455.95
195,Long-Einstieg,2026-02-06 15:32,Long_078,24702,588,290495520,1202460,0.41,1202460,0.41,-14700,-0.01,3455945,3455.95
196,Long-Ausstieg,2026-02-06 15:38,L078 TP2,24898.75,588,290495520,2313780,0.80,2313780,0.80,-14700,-0.01,5769725,5769.73
196,Long-Einstieg,2026-02-06 15:32,Long_078,24702,588,290495520,2313780,0.80,2313780,0.80,-14700,-0.01,5769725,5769.73
197,Long-Ausstieg,2026-02-09 00:01,EOD_CLOSE,25183.5,1,494040,9630,1.95,10400,2.11,-25,-0.01,5779355,5779.36
197,Long-Einstieg,2026-02-06 15:32,Long_078,24702,1,494040,9630,1.95,10400,2.11,-25,-0.01,5779355,5779.36
198,Long-Ausstieg,2026-02-12 15:48,L140 SL,25259.5,1470,742996800,-367500,-0.05,882000,0.12,-367500,-0.05,5411855,5411.86
